T26,Population employed in research and development (R&D),,,,,
51,Armenia,2005,R & D personnel: Technicians - total (number in full-time equivalent),345,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,491",Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2010,R & D personnel: Total (number in full-time equivalent),"6,558",Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"4,981",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"2,261",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2010,R & D personnel: Technicians - total (number in full-time equivalent),479,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),672,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,R & D personnel: Total (number in full-time equivalent),"4,881",Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,R & D personnel: Researchers - total (number in full-time equivalent),"3,682",Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,R & D personnel: Researchers - women (number in full-time equivalent),"1,917",Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,R & D personnel: Technicians - total (number in full-time equivalent),320,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,R & D personnel: Technicians - women (number in full-time equivalent),168,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),537,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),283,Head count instead of Full-time equivalent.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,R & D personnel: Total (number in full-time equivalent),"116,194",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,R & D personnel: Researchers - total (number in full-time equivalent),"81,192",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,R & D personnel: Technicians - total (number in full-time equivalent),"17,600",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),"17,402",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2008,R & D personnel: Total (number in full-time equivalent),"137,489",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2008,R & D personnel: Researchers - total (number in full-time equivalent),"92,649",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2008,R & D personnel: Technicians - total (number in full-time equivalent),"24,243",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),"20,597",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"100,414",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,R & D personnel: Total (number in full-time equivalent),"42,891",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,R & D personnel: Researchers - total (number in full-time equivalent),"25,955",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,R & D personnel: Researchers - women (number in full-time equivalent),"4,740",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,R & D personnel: Technicians - total (number in full-time equivalent),"12,067",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,R & D personnel: Technicians - women (number in full-time equivalent),"2,901",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),"4,869",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,471",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2005,R & D personnel: Total (number in full-time equivalent),"47,625",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2005,R & D personnel: Researchers - total (number in full-time equivalent),"28,470",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2009,R & D personnel: Total (number in full-time equivalent),"56,438",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2009,R & D personnel: Researchers - total (number in full-time equivalent),"34,664",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2009,R & D personnel: Researchers - women (number in full-time equivalent),"7,765",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2009,R & D personnel: Technicians - total (number in full-time equivalent),"16,709",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2009,R & D personnel: Technicians - women (number in full-time equivalent),"3,903",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,065",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2009,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,398",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2010,R & D personnel: Total (number in full-time equivalent),"59,923",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2010,R & D personnel: Researchers - total (number in full-time equivalent),"36,581",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2015,R & D personnel: Total (number in full-time equivalent),"71,396",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2015,R & D personnel: Researchers - total (number in full-time equivalent),"43,562",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2015,R & D personnel: Researchers - women (number in full-time equivalent),"10,114",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2015,R & D personnel: Technicians - total (number in full-time equivalent),"22,387",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2015,R & D personnel: Technicians - women (number in full-time equivalent),"4,651",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,447",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,326",Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2016,R & D personnel: Total (number in full-time equivalent),"73,643",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2016,R & D personnel: Researchers - total (number in full-time equivalent),"44,933",Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,R & D personnel: Total (number in full-time equivalent),"18,164",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,R & D personnel: Researchers - total (number in full-time equivalent),"11,603",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,R & D personnel: Researchers - women (number in full-time equivalent),"6,056",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,825",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,086",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,R & D personnel: Total (number in full-time equivalent),"17,924",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,R & D personnel: Researchers - total (number in full-time equivalent),"11,037",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,R & D personnel: Researchers - women (number in full-time equivalent),"6,101",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,819",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,R & D personnel: Technicians - women (number in full-time equivalent),"1,087",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,531",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,866",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,R & D personnel: Total (number in full-time equivalent),"22,527",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,R & D personnel: Researchers - total (number in full-time equivalent),"15,548",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,R & D personnel: Researchers - women (number in full-time equivalent),"8,871",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,R & D personnel: Technicians - total (number in full-time equivalent),"2,019",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,R & D personnel: Technicians - women (number in full-time equivalent),"1,060",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,574",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
31,Azerbaijan,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,468",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,R & D personnel: Total (number in full-time equivalent),562,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,R & D personnel: Researchers - total (number in full-time equivalent),493,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,R & D personnel: Researchers - women (number in full-time equivalent),205,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,R & D personnel: Technicians - total (number in full-time equivalent),23,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,R & D personnel: Technicians - women (number in full-time equivalent),12,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),41,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
48,Bahrain,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),16,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2005,R & D personnel: Total (number in full-time equivalent),"30,222",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2005,R & D personnel: Researchers - total (number in full-time equivalent),"18,267",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
