Entity,Code,Year,Number of significant earthquakes (significant earthquakes)
Afghanistan,AFG,306,0
Afghanistan,AFG,315,0
Afghanistan,AFG,319,0
Afghanistan,AFG,324,0
Afghanistan,AFG,334,0
Afghanistan,AFG,340,0
Afghanistan,AFG,341,0
Afghanistan,AFG,342,0
Afghanistan,AFG,344,0
Afghanistan,AFG,346,0
Afghanistan,AFG,348,0
Afghanistan,AFG,350,0
Afghanistan,AFG,355,0
Afghanistan,AFG,358,0
Afghanistan,AFG,361,0
Afghanistan,AFG,362,0
Afghanistan,AFG,365,0
Afghanistan,AFG,367,0
Afghanistan,AFG,368,0
Afghanistan,AFG,369,0
Afghanistan,AFG,382,0
Afghanistan,AFG,394,0
Afghanistan,AFG,396,0
Afghanistan,AFG,407,0
Afghanistan,AFG,412,0
Afghanistan,AFG,419,0
Afghanistan,AFG,425,0
Afghanistan,AFG,427,0
Afghanistan,AFG,438,0
Afghanistan,AFG,440,0
Afghanistan,AFG,447,0
Afghanistan,AFG,448,0
Afghanistan,AFG,450,0
Afghanistan,AFG,457,0
Afghanistan,AFG,458,0
Afghanistan,AFG,460,0
Afghanistan,AFG,470,0
Afghanistan,AFG,477,0
Afghanistan,AFG,478,0
Afghanistan,AFG,494,0
Afghanistan,AFG,499,0
Afghanistan,AFG,500,0
Afghanistan,AFG,501,0
Afghanistan,AFG,510,0
Afghanistan,AFG,512,0
Afghanistan,AFG,518,0
Afghanistan,AFG,521,0
Afghanistan,AFG,522,0
Afghanistan,AFG,525,0
Afghanistan,AFG,527,0
Afghanistan,AFG,528,0
Afghanistan,AFG,533,0
Afghanistan,AFG,543,0
Afghanistan,AFG,551,0
Afghanistan,AFG,552,0
Afghanistan,AFG,553,0
Afghanistan,AFG,554,0
Afghanistan,AFG,555,0
Afghanistan,AFG,557,0
Afghanistan,AFG,558,0
Afghanistan,AFG,565,0
Afghanistan,AFG,567,0
Afghanistan,AFG,579,0
Afghanistan,AFG,581,0
Afghanistan,AFG,587,0
Afghanistan,AFG,600,0
Afghanistan,AFG,614,0
Afghanistan,AFG,634,0
Afghanistan,AFG,649,0
Afghanistan,AFG,662,0
Afghanistan,AFG,664,0
Afghanistan,AFG,678,0
Afghanistan,AFG,684,0
Afghanistan,AFG,688,0
Afghanistan,AFG,701,0
Afghanistan,AFG,704,0
Afghanistan,AFG,713,0
Afghanistan,AFG,715,0
Afghanistan,AFG,716,0
Afghanistan,AFG,734,0
Afghanistan,AFG,735,0
Afghanistan,AFG,740,0
Afghanistan,AFG,742,0
Afghanistan,AFG,743,0
Afghanistan,AFG,744,0
Afghanistan,AFG,745,0
Afghanistan,AFG,746,0
Afghanistan,AFG,748,0
Afghanistan,AFG,749,0
Afghanistan,AFG,758,0
Afghanistan,AFG,763,0
Afghanistan,AFG,766,0
Afghanistan,AFG,777,0
Afghanistan,AFG,778,0
Afghanistan,AFG,780,0
Afghanistan,AFG,788,0
Afghanistan,AFG,793,0
Afghanistan,AFG,796,0
Afghanistan,AFG,801,0
Afghanistan,AFG,802,0
Afghanistan,AFG,803,0
Afghanistan,AFG,811,0
Afghanistan,AFG,814,0
Afghanistan,AFG,818,1
Afghanistan,AFG,820,0
Afghanistan,AFG,835,0
Afghanistan,AFG,838,0
Afghanistan,AFG,842,0
Afghanistan,AFG,844,0
Afghanistan,AFG,845,0
Afghanistan,AFG,846,0
Afghanistan,AFG,847,0
Afghanistan,AFG,850,0
Afghanistan,AFG,851,0
Afghanistan,AFG,853,0
Afghanistan,AFG,854,0
Afghanistan,AFG,855,0
Afghanistan,AFG,856,0
Afghanistan,AFG,857,0
Afghanistan,AFG,858,0
Afghanistan,AFG,859,0
Afghanistan,AFG,860,0
Afghanistan,AFG,863,0
Afghanistan,AFG,864,0
Afghanistan,AFG,867,0
Afghanistan,AFG,869,0
Afghanistan,AFG,871,0
Afghanistan,AFG,876,0
Afghanistan,AFG,881,0
Afghanistan,AFG,885,0
Afghanistan,AFG,887,0
Afghanistan,AFG,891,0
Afghanistan,AFG,893,0
Afghanistan,AFG,894,0
Afghanistan,AFG,896,0
Afghanistan,AFG,898,0
Afghanistan,AFG,910,0
Afghanistan,AFG,912,0
Afghanistan,AFG,922,0
Afghanistan,AFG,942,0
Afghanistan,AFG,943,0
Afghanistan,AFG,951,0
Afghanistan,AFG,953,0
Afghanistan,AFG,956,0
Afghanistan,AFG,957,0
Afghanistan,AFG,958,0
Afghanistan,AFG,963,0
Afghanistan,AFG,972,0
Afghanistan,AFG,977,0
Afghanistan,AFG,978,0
Afghanistan,AFG,985,0
Afghanistan,AFG,986,0
Afghanistan,AFG,990,0
Afghanistan,AFG,991,0
Afghanistan,AFG,999,0
Afghanistan,AFG,1000,0
Afghanistan,AFG,1001,0
Afghanistan,AFG,1003,0
Afghanistan,AFG,1007,0
Afghanistan,AFG,1008,0
Afghanistan,AFG,1010,0
Afghanistan,AFG,1013,0
Afghanistan,AFG,1021,0
Afghanistan,AFG,1022,0
Afghanistan,AFG,1026,0
Afghanistan,AFG,1033,0
Afghanistan,AFG,1036,0
Afghanistan,AFG,1037,0
Afghanistan,AFG,1038,0
Afghanistan,AFG,1039,0
Afghanistan,AFG,1040,0
Afghanistan,AFG,1042,0
Afghanistan,AFG,1045,0
Afghanistan,AFG,1046,0
Afghanistan,AFG,1048,0
Afghanistan,AFG,1052,0
Afghanistan,AFG,1057,0
Afghanistan,AFG,1058,0
Afghanistan,AFG,1063,0
Afghanistan,AFG,1064,0
Afghanistan,AFG,1065,0
Afghanistan,AFG,1066,0
Afghanistan,AFG,1067,0
Afghanistan,AFG,1068,0
Afghanistan,AFG,1070,0
Afghanistan,AFG,1072,0
Afghanistan,AFG,1076,0
Afghanistan,AFG,1082,0
Afghanistan,AFG,1085,0
Afghanistan,AFG,1086,0
Afghanistan,AFG,1088,0
Afghanistan,AFG,1089,0
Afghanistan,AFG,1091,0
Afghanistan,AFG,1096,0
Afghanistan,AFG,1099,0
Afghanistan,AFG,1101,0
Afghanistan,AFG,1102,1
Afghanistan,AFG,1106,0
Afghanistan,AFG,1109,0
Afghanistan,AFG,1111,0
Afghanistan,AFG,1114,0
Afghanistan,AFG,1115,0
Afghanistan,AFG,1117,0
Afghanistan,AFG,1118,0
Afghanistan,AFG,1119,0
Afghanistan,AFG,1125,0
Afghanistan,AFG,1130,0
Afghanistan,AFG,1137,0
Afghanistan,AFG,1139,0
Afghanistan,AFG,1143,0
Afghanistan,AFG,1149,0
Afghanistan,AFG,1151,0
Afghanistan,AFG,1153,0
Afghanistan,AFG,1155,0
Afghanistan,AFG,1156,0
Afghanistan,AFG,1157,0
Afghanistan,AFG,1158,0
Afghanistan,AFG,1160,0
Afghanistan,AFG,1164,0
Afghanistan,AFG,1169,0
Afghanistan,AFG,1171,0
Afghanistan,AFG,1172,0
Afghanistan,AFG,1175,0
Afghanistan,AFG,1176,0
Afghanistan,AFG,1179,0
Afghanistan,AFG,1180,0
Afghanistan,AFG,1182,0
Afghanistan,AFG,1183,0
Afghanistan,AFG,1184,0
Afghanistan,AFG,1201,0
Afghanistan,AFG,1202,0
Afghanistan,AFG,1208,0
Afghanistan,AFG,1209,0
Afghanistan,AFG,1211,0
Afghanistan,AFG,1219,0
Afghanistan,AFG,1222,0
Afghanistan,AFG,1223,0
Afghanistan,AFG,1227,0
Afghanistan,AFG,1231,0
Afghanistan,AFG,1233,0
Afghanistan,AFG,1237,0
Afghanistan,AFG,1241,0
Afghanistan,AFG,1248,0
Afghanistan,AFG,1255,0
Afghanistan,AFG,1257,0
Afghanistan,AFG,1259,0
Afghanistan,AFG,1267,0
Afghanistan,AFG,1268,0
Afghanistan,AFG,1269,0
Afghanistan,AFG,1272,0
Afghanistan,AFG,1273,0
Afghanistan,AFG,1275,0
Afghanistan,AFG,1276,0
Afghanistan,AFG,1277,0
Afghanistan,AFG,1279,0
Afghanistan,AFG,1280,0
Afghanistan,AFG,1281,0
Afghanistan,AFG,1283,0
Afghanistan,AFG,1284,0
Afghanistan,AFG,1286,0
Afghanistan,AFG,1289,0
Afghanistan,AFG,1290,0
Afghanistan,AFG,1291,0
Afghanistan,AFG,1293,0
Afghanistan,AFG,1295,0
Afghanistan,AFG,1298,0
Afghanistan,AFG,1300,0
Afghanistan,AFG,1301,0
Afghanistan,AFG,1303,0
Afghanistan,AFG,1304,0
Afghanistan,AFG,1305,0
Afghanistan,AFG,1306,0
Afghanistan,AFG,1310,0
Afghanistan,AFG,1314,0
Afghanistan,AFG,1319,0
Afghanistan,AFG,1320,0
Afghanistan,AFG,1323,0
Afghanistan,AFG,1327,0
Afghanistan,AFG,1328,0
Afghanistan,AFG,1329,0
Afghanistan,AFG,1331,0
Afghanistan,AFG,1332,0
Afghanistan,AFG,1336,0
Afghanistan,AFG,1337,0
Afghanistan,AFG,1339,0
Afghanistan,AFG,1340,0
Afghanistan,AFG,1341,0
Afghanistan,AFG,1343,0
Afghanistan,AFG,1344,0
Afghanistan,AFG,1345,0
Afghanistan,AFG,1346,0
Afghanistan,AFG,1347,0
Afghanistan,AFG,1348,0
Afghanistan,AFG,1349,0
Afghanistan,AFG,1350,0
Afghanistan,AFG,1351,0
Afghanistan,AFG,1352,0
Afghanistan,AFG,1353,0
Afghanistan,AFG,1354,0
Afghanistan,AFG,1356,0
Afghanistan,AFG,1358,0
Afghanistan,AFG,1359,0
Afghanistan,AFG,1360,0
Afghanistan,AFG,1361,0
Afghanistan,AFG,1365,0
Afghanistan,AFG,1367,0
Afghanistan,AFG,1368,0
Afghanistan,AFG,1372,0
Afghanistan,AFG,1374,0
Afghanistan,AFG,1375,0
Afghanistan,AFG,1377,0
Afghanistan,AFG,1380,0
Afghanistan,AFG,1382,0
Afghanistan,AFG,1383,0
Afghanistan,AFG,1384,0
Afghanistan,AFG,1385,0
Afghanistan,AFG,1386,0
Afghanistan,AFG,1387,0
Afghanistan,AFG,1389,0
Afghanistan,AFG,1390,0
Afghanistan,AFG,1391,0
Afghanistan,AFG,1399,0
Afghanistan,AFG,1400,0
Afghanistan,AFG,1402,0
Afghanistan,AFG,1403,0
Afghanistan,AFG,1404,0
Afghanistan,AFG,1405,0
Afghanistan,AFG,1406,0
Afghanistan,AFG,1407,0
Afghanistan,AFG,1408,0
Afghanistan,AFG,1414,0
Afghanistan,AFG,1417,0
Afghanistan,AFG,1418,0
Afghanistan,AFG,1419,0
Afghanistan,AFG,1426,0
Afghanistan,AFG,1427,0
Afghanistan,AFG,1428,0
Afghanistan,AFG,1431,0
Afghanistan,AFG,1433,0
Afghanistan,AFG,1440,0
Afghanistan,AFG,1441,0
Afghanistan,AFG,1443,0
Afghanistan,AFG,1444,0
Afghanistan,AFG,1445,0
Afghanistan,AFG,1447,0
Afghanistan,AFG,1448,0
Afghanistan,AFG,1451,0
Afghanistan,AFG,1454,0
Afghanistan,AFG,1455,0
Afghanistan,AFG,1456,0
Afghanistan,AFG,1457,0
Afghanistan,AFG,1458,0
Afghanistan,AFG,1459,0
Afghanistan,AFG,1461,0
Afghanistan,AFG,1463,0
Afghanistan,AFG,1464,0
Afghanistan,AFG,1469,0
Afghanistan,AFG,1471,0
Afghanistan,AFG,1475,0
Afghanistan,AFG,1478,0
Afghanistan,AFG,1479,0
Afghanistan,AFG,1481,0
Afghanistan,AFG,1482,0
Afghanistan,AFG,1483,0
Afghanistan,AFG,1484,0
Afghanistan,AFG,1485,0
Afghanistan,AFG,1487,0
Afghanistan,AFG,1488,0
Afghanistan,AFG,1489,0
Afghanistan,AFG,1490,0
Afghanistan,AFG,1491,0
Afghanistan,AFG,1493,0
Afghanistan,AFG,1494,0
Afghanistan,AFG,1495,0
Afghanistan,AFG,1496,0
Afghanistan,AFG,1498,0
Afghanistan,AFG,1499,0
Afghanistan,AFG,1500,0
Afghanistan,AFG,1501,0
Afghanistan,AFG,1502,0
Afghanistan,AFG,1504,0
Afghanistan,AFG,1505,1
Afghanistan,AFG,1507,0
Afghanistan,AFG,1508,0
Afghanistan,AFG,1509,0
Afghanistan,AFG,1510,0
Afghanistan,AFG,1511,0
Afghanistan,AFG,1512,0
Afghanistan,AFG,1513,0
Afghanistan,AFG,1514,0
Afghanistan,AFG,1515,0
Afghanistan,AFG,1516,0
Afghanistan,AFG,1517,0
Afghanistan,AFG,1518,0
Afghanistan,AFG,1520,0
Afghanistan,AFG,1522,0
Afghanistan,AFG,1523,0
Afghanistan,AFG,1524,0
Afghanistan,AFG,1527,0
Afghanistan,AFG,1530,0
Afghanistan,AFG,1531,0
Afghanistan,AFG,1535,0
Afghanistan,AFG,1536,0
Afghanistan,AFG,1537,0
Afghanistan,AFG,1538,0
Afghanistan,AFG,1539,0
Afghanistan,AFG,1541,0
Afghanistan,AFG,1542,0
Afghanistan,AFG,1543,0
Afghanistan,AFG,1545,0
Afghanistan,AFG,1546,0
Afghanistan,AFG,1547,0
Afghanistan,AFG,1549,0
Afghanistan,AFG,1550,0
Afghanistan,AFG,1551,0
Afghanistan,AFG,1552,0
Afghanistan,AFG,1553,0
Afghanistan,AFG,1555,0
Afghanistan,AFG,1556,0
Afghanistan,AFG,1560,0
Afghanistan,AFG,1561,0
Afghanistan,AFG,1562,0
Afghanistan,AFG,1563,0
Afghanistan,AFG,1564,0
Afghanistan,AFG,1565,0
Afghanistan,AFG,1566,0
Afghanistan,AFG,1568,0
Afghanistan,AFG,1570,0
Afghanistan,AFG,1571,0
Afghanistan,AFG,1573,0
Afghanistan,AFG,1574,0
Afghanistan,AFG,1575,0
Afghanistan,AFG,1576,0
Afghanistan,AFG,1577,0
Afghanistan,AFG,1578,0
Afghanistan,AFG,1579,0
Afghanistan,AFG,1580,0
Afghanistan,AFG,1581,0
Afghanistan,AFG,1582,0
Afghanistan,AFG,1584,0
Afghanistan,AFG,1586,0
Afghanistan,AFG,1587,0
Afghanistan,AFG,1588,0
Afghanistan,AFG,1589,0
Afghanistan,AFG,1590,0
Afghanistan,AFG,1591,0
Afghanistan,AFG,1593,0
Afghanistan,AFG,1594,0
Afghanistan,AFG,1596,0
Afghanistan,AFG,1597,0
Afghanistan,AFG,1598,0
Afghanistan,AFG,1599,0
Afghanistan,AFG,1600,0
Afghanistan,AFG,1601,0
Afghanistan,AFG,1602,0
Afghanistan,AFG,1603,0
Afghanistan,AFG,1604,0
Afghanistan,AFG,1605,0
Afghanistan,AFG,1606,0
Afghanistan,AFG,1608,0
Afghanistan,AFG,1609,0
Afghanistan,AFG,1610,0
Afghanistan,AFG,1611,0
Afghanistan,AFG,1612,0
Afghanistan,AFG,1613,0
Afghanistan,AFG,1614,0
Afghanistan,AFG,1615,0
Afghanistan,AFG,1616,0
Afghanistan,AFG,1618,0
Afghanistan,AFG,1619,0
Afghanistan,AFG,1620,0
Afghanistan,AFG,1621,0
Afghanistan,AFG,1622,0
Afghanistan,AFG,1624,0
Afghanistan,AFG,1625,0
Afghanistan,AFG,1626,0
Afghanistan,AFG,1627,0
Afghanistan,AFG,1628,0
Afghanistan,AFG,1629,0
Afghanistan,AFG,1630,0
Afghanistan,AFG,1631,0
Afghanistan,AFG,1632,0
Afghanistan,AFG,1633,0
Afghanistan,AFG,1634,0
Afghanistan,AFG,1636,0
Afghanistan,AFG,1638,0
Afghanistan,AFG,1639,0
Afghanistan,AFG,1640,0
Afghanistan,AFG,1641,0
Afghanistan,AFG,1642,0
Afghanistan,AFG,1643,0
Afghanistan,AFG,1644,0
Afghanistan,AFG,1645,0
Afghanistan,AFG,1646,0
Afghanistan,AFG,1647,0
Afghanistan,AFG,1648,0
Afghanistan,AFG,1649,0
Afghanistan,AFG,1650,0
Afghanistan,AFG,1651,0
Afghanistan,AFG,1652,0
Afghanistan,AFG,1653,0
Afghanistan,AFG,1654,0
Afghanistan,AFG,1655,0
Afghanistan,AFG,1656,0
Afghanistan,AFG,1657,0
Afghanistan,AFG,1658,0
Afghanistan,AFG,1659,0
Afghanistan,AFG,1660,0
Afghanistan,AFG,1661,0
Afghanistan,AFG,1662,0
Afghanistan,AFG,1663,0
Afghanistan,AFG,1664,0
Afghanistan,AFG,1665,0
Afghanistan,AFG,1666,0
Afghanistan,AFG,1667,0
Afghanistan,AFG,1668,0
Afghanistan,AFG,1669,0
Afghanistan,AFG,1670,0
Afghanistan,AFG,1671,0
Afghanistan,AFG,1672,0
Afghanistan,AFG,1673,0
Afghanistan,AFG,1674,0
Afghanistan,AFG,1675,0
Afghanistan,AFG,1676,0
Afghanistan,AFG,1677,0
Afghanistan,AFG,1678,0
Afghanistan,AFG,1679,0
Afghanistan,AFG,1680,0
Afghanistan,AFG,1681,0
Afghanistan,AFG,1682,0
Afghanistan,AFG,1683,0
Afghanistan,AFG,1684,0
Afghanistan,AFG,1687,0
Afghanistan,AFG,1688,0
Afghanistan,AFG,1689,0
Afghanistan,AFG,1690,0
Afghanistan,AFG,1691,0
Afghanistan,AFG,1692,0
Afghanistan,AFG,1693,0
Afghanistan,AFG,1694,0
Afghanistan,AFG,1695,0
Afghanistan,AFG,1696,0
Afghanistan,AFG,1697,0
Afghanistan,AFG,1698,0
Afghanistan,AFG,1699,0
Afghanistan,AFG,1700,0
Afghanistan,AFG,1701,0
Afghanistan,AFG,1702,0
Afghanistan,AFG,1703,0
Afghanistan,AFG,1704,0
Afghanistan,AFG,1705,0
Afghanistan,AFG,1706,0
Afghanistan,AFG,1707,0
Afghanistan,AFG,1708,0
Afghanistan,AFG,1709,0
Afghanistan,AFG,1710,0
Afghanistan,AFG,1711,0
Afghanistan,AFG,1713,0
Afghanistan,AFG,1714,0
Afghanistan,AFG,1715,0
Afghanistan,AFG,1716,0
Afghanistan,AFG,1717,0
Afghanistan,AFG,1718,0
Afghanistan,AFG,1719,0
Afghanistan,AFG,1720,0
Afghanistan,AFG,1721,0
Afghanistan,AFG,1722,0
Afghanistan,AFG,1723,0
Afghanistan,AFG,1725,0
Afghanistan,AFG,1726,0
Afghanistan,AFG,1727,0
Afghanistan,AFG,1728,0
Afghanistan,AFG,1729,0
Afghanistan,AFG,1730,0
Afghanistan,AFG,1731,0
Afghanistan,AFG,1732,0
Afghanistan,AFG,1733,0
Afghanistan,AFG,1734,0
Afghanistan,AFG,1735,0
Afghanistan,AFG,1736,0
Afghanistan,AFG,1737,0
Afghanistan,AFG,1738,0
Afghanistan,AFG,1739,0
Afghanistan,AFG,1740,0
Afghanistan,AFG,1741,0
Afghanistan,AFG,1742,0
Afghanistan,AFG,1743,0
Afghanistan,AFG,1744,0
Afghanistan,AFG,1746,0
Afghanistan,AFG,1747,0
Afghanistan,AFG,1748,0
Afghanistan,AFG,1749,0
Afghanistan,AFG,1750,0
Afghanistan,AFG,1751,0
Afghanistan,AFG,1752,0
Afghanistan,AFG,1754,0
Afghanistan,AFG,1755,0
Afghanistan,AFG,1756,0
Afghanistan,AFG,1757,0
Afghanistan,AFG,1758,0
Afghanistan,AFG,1759,0
Afghanistan,AFG,1760,0
Afghanistan,AFG,1761,0
Afghanistan,AFG,1762,0
Afghanistan,AFG,1763,0
Afghanistan,AFG,1764,0
Afghanistan,AFG,1765,0
Afghanistan,AFG,1766,0
Afghanistan,AFG,1767,0
Afghanistan,AFG,1768,0
Afghanistan,AFG,1769,0
Afghanistan,AFG,1770,0
Afghanistan,AFG,1771,0
Afghanistan,AFG,1772,0
Afghanistan,AFG,1773,0
Afghanistan,AFG,1774,0
Afghanistan,AFG,1775,0
Afghanistan,AFG,1776,0
Afghanistan,AFG,1777,0
Afghanistan,AFG,1778,0
Afghanistan,AFG,1779,0
Afghanistan,AFG,1780,0
Afghanistan,AFG,1781,0
Afghanistan,AFG,1782,0
Afghanistan,AFG,1783,0
Afghanistan,AFG,1784,0
Afghanistan,AFG,1785,0
Afghanistan,AFG,1786,0
Afghanistan,AFG,1787,0
Afghanistan,AFG,1788,0
Afghanistan,AFG,1789,0
Afghanistan,AFG,1790,0
Afghanistan,AFG,1791,0
Afghanistan,AFG,1792,0
Afghanistan,AFG,1793,0
Afghanistan,AFG,1794,0
Afghanistan,AFG,1795,0
Afghanistan,AFG,1796,0
Afghanistan,AFG,1797,0
Afghanistan,AFG,1798,0
Afghanistan,AFG,1799,0
Afghanistan,AFG,1800,0
Afghanistan,AFG,1801,0
Afghanistan,AFG,1802,0
Afghanistan,AFG,1803,0
Afghanistan,AFG,1804,0
Afghanistan,AFG,1805,0
Afghanistan,AFG,1806,0
Afghanistan,AFG,1808,0
Afghanistan,AFG,1809,0
Afghanistan,AFG,1810,0
Afghanistan,AFG,1811,0
Afghanistan,AFG,1812,0
Afghanistan,AFG,1813,0
Afghanistan,AFG,1814,0
Afghanistan,AFG,1815,0
Afghanistan,AFG,1816,0
Afghanistan,AFG,1817,0
Afghanistan,AFG,1818,0
Afghanistan,AFG,1819,0
Afghanistan,AFG,1820,0
Afghanistan,AFG,1821,0
Afghanistan,AFG,1822,0
Afghanistan,AFG,1823,0
Afghanistan,AFG,1824,0
Afghanistan,AFG,1825,0
Afghanistan,AFG,1826,0
Afghanistan,AFG,1827,0
Afghanistan,AFG,1828,0
Afghanistan,AFG,1829,0
Afghanistan,AFG,1830,0
Afghanistan,AFG,1831,0
Afghanistan,AFG,1832,1
Afghanistan,AFG,1833,0
Afghanistan,AFG,1834,0
Afghanistan,AFG,1835,0
Afghanistan,AFG,1836,0
Afghanistan,AFG,1837,0
Afghanistan,AFG,1838,0
Afghanistan,AFG,1839,0
Afghanistan,AFG,1840,0
Afghanistan,AFG,1841,0
Afghanistan,AFG,1842,1
Afghanistan,AFG,1843,0
Afghanistan,AFG,1844,0
Afghanistan,AFG,1845,0
Afghanistan,AFG,1846,0
Afghanistan,AFG,1847,0
Afghanistan,AFG,1848,0
Afghanistan,AFG,1849,0
Afghanistan,AFG,1850,0
Afghanistan,AFG,1851,0
Afghanistan,AFG,1852,0
Afghanistan,AFG,1853,0
Afghanistan,AFG,1854,0
Afghanistan,AFG,1855,0
Afghanistan,AFG,1856,0
Afghanistan,AFG,1857,0
Afghanistan,AFG,1858,0
Afghanistan,AFG,1859,0
Afghanistan,AFG,1860,0
Afghanistan,AFG,1861,0
Afghanistan,AFG,1862,0
Afghanistan,AFG,1863,0
Afghanistan,AFG,1864,0
Afghanistan,AFG,1865,0
Afghanistan,AFG,1866,0
Afghanistan,AFG,1867,0
Afghanistan,AFG,1868,0
Afghanistan,AFG,1869,0
Afghanistan,AFG,1870,0
Afghanistan,AFG,1871,0
Afghanistan,AFG,1872,0
Afghanistan,AFG,1873,0
Afghanistan,AFG,1874,1
Afghanistan,AFG,1875,0
Afghanistan,AFG,1876,0
Afghanistan,AFG,1877,0
Afghanistan,AFG,1878,0
Afghanistan,AFG,1879,0
Afghanistan,AFG,1880,0
Afghanistan,AFG,1881,0
Afghanistan,AFG,1882,0
Afghanistan,AFG,1883,0
Afghanistan,AFG,1884,0
Afghanistan,AFG,1885,0
Afghanistan,AFG,1886,0
Afghanistan,AFG,1887,0
Afghanistan,AFG,1888,0
Afghanistan,AFG,1889,0
Afghanistan,AFG,1890,0
Afghanistan,AFG,1891,0
Afghanistan,AFG,1892,0
Afghanistan,AFG,1893,0
Afghanistan,AFG,1894,0
Afghanistan,AFG,1895,0
Afghanistan,AFG,1896,1
Afghanistan,AFG,1897,0
Afghanistan,AFG,1898,0
Afghanistan,AFG,1899,0
Afghanistan,AFG,1900,0
Afghanistan,AFG,1901,0
Afghanistan,AFG,1902,0
Afghanistan,AFG,1903,0
Afghanistan,AFG,1904,0
Afghanistan,AFG,1905,0
Afghanistan,AFG,1906,0
Afghanistan,AFG,1907,0
Afghanistan,AFG,1908,1
Afghanistan,AFG,1909,1
Afghanistan,AFG,1910,0
Afghanistan,AFG,1911,1
Afghanistan,AFG,1912,0
Afghanistan,AFG,1913,0
Afghanistan,AFG,1914,0
Afghanistan,AFG,1915,0
Afghanistan,AFG,1916,0
Afghanistan,AFG,1917,0
Afghanistan,AFG,1918,0
Afghanistan,AFG,1919,0
Afghanistan,AFG,1920,0
Afghanistan,AFG,1921,1
Afghanistan,AFG,1922,1
Afghanistan,AFG,1923,0
Afghanistan,AFG,1924,0
Afghanistan,AFG,1925,0
Afghanistan,AFG,1926,0
Afghanistan,AFG,1927,0
Afghanistan,AFG,1928,0
Afghanistan,AFG,1929,1
Afghanistan,AFG,1930,0
Afghanistan,AFG,1931,0
Afghanistan,AFG,1932,0
Afghanistan,AFG,1933,0
Afghanistan,AFG,1934,0
Afghanistan,AFG,1935,0
Afghanistan,AFG,1936,0
Afghanistan,AFG,1937,1
Afghanistan,AFG,1938,0
Afghanistan,AFG,1939,1
Afghanistan,AFG,1940,0
Afghanistan,AFG,1941,0
Afghanistan,AFG,1942,0
Afghanistan,AFG,1943,0
Afghanistan,AFG,1944,0
Afghanistan,AFG,1945,0
Afghanistan,AFG,1946,0
Afghanistan,AFG,1947,0
Afghanistan,AFG,1948,0
Afghanistan,AFG,1949,1
Afghanistan,AFG,1950,0
Afghanistan,AFG,1951,0
Afghanistan,AFG,1952,0
Afghanistan,AFG,1953,0
Afghanistan,AFG,1954,1
Afghanistan,AFG,1955,0
