T04,International migrants and refugees,,,,,
15,Northern Africa,2005,International migrant stock: Female (% total Population),0.7,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2010,International migrant stock: Both sexes (number),"1,893,613",Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2010,International migrant stock: Both sexes (% total population),0.9,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2010,International migrant stock: Male (% total Population),1.1,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2010,International migrant stock: Female (% total Population),0.8,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2015,International migrant stock: Both sexes (number),"2,354,732",Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2015,International migrant stock: Both sexes (% total population),1,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2015,International migrant stock: Male (% total Population),1.2,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2015,International migrant stock: Female (% total Population),0.9,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2017,International migrant stock: Both sexes (number),"2,410,056",Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2017,International migrant stock: Both sexes (% total population),1,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2017,International migrant stock: Male (% total Population),1.2,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2017,International migrant stock: Female (% total Population),0.9,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (number),"14,272,361",Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (% total population),1.9,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2005,International migrant stock: Male (% total Population),2,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2005,International migrant stock: Female (% total Population),1.7,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (number),"15,691,999",Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (% total population),1.8,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2010,International migrant stock: Male (% total Population),1.9,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2010,International migrant stock: Female (% total Population),1.7,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (number),"21,705,234",Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (% total population),2.2,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2015,International migrant stock: Male (% total Population),2.3,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2015,International migrant stock: Female (% total Population),2,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2017,International migrant stock: Both sexes (number),"22,975,988",Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2017,International migrant stock: Both sexes (% total population),2.2,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2017,International migrant stock: Male (% total Population),2.3,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
202,Sub-Saharan Africa,2017,International migrant stock: Female (% total Population),2.1,Including Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2005,International migrant stock: Both sexes (number),"4,745,792",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2005,International migrant stock: Both sexes (% total population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2005,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2005,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2010,International migrant stock: Both sexes (number),"4,657,063",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2010,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2010,International migrant stock: Male (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2010,International migrant stock: Female (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2015,International migrant stock: Both sexes (number),"6,920,965",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2015,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2015,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2015,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2017,International migrant stock: Both sexes (number),"7,591,799",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2017,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2017,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
14,Eastern Africa,2017,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2005,International migrant stock: Both sexes (number),"1,928,828",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2005,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2005,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2005,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2010,International migrant stock: Both sexes (number),"2,139,979",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2010,International migrant stock: Both sexes (% total population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2010,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2010,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2015,International migrant stock: Both sexes (number),"3,436,978",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2015,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2015,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2015,International migrant stock: Female (% total Population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2017,International migrant stock: Both sexes (number),"3,539,697",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2017,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2017,International migrant stock: Male (% total Population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
17,Middle Africa,2017,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2005,International migrant stock: Both sexes (number),"1,439,426",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2005,International migrant stock: Both sexes (% total population),2.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2005,International migrant stock: Male (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2005,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2010,International migrant stock: Both sexes (number),"2,357,093",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2010,International migrant stock: Both sexes (% total population),4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2010,International migrant stock: Male (% total Population),4.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2010,International migrant stock: Female (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2015,International migrant stock: Both sexes (number),"4,112,793",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2015,International migrant stock: Both sexes (% total population),6.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2015,International migrant stock: Male (% total Population),7.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2015,International migrant stock: Female (% total Population),5.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2017,International migrant stock: Both sexes (number),"4,338,205",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2017,International migrant stock: Both sexes (% total population),6.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2017,International migrant stock: Male (% total Population),7.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
18,Southern Africa,2017,International migrant stock: Female (% total Population),5.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2005,International migrant stock: Both sexes (number),"5,616,321",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2005,International migrant stock: Both sexes (% total population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2005,International migrant stock: Male (% total Population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2005,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2010,International migrant stock: Both sexes (number),"5,959,501",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2010,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2010,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2010,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2015,International migrant stock: Both sexes (number),"6,610,620",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2015,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2015,International migrant stock: Male (% total Population),2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2015,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2017,International migrant stock: Both sexes (number),"6,770,466",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2017,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2017,International migrant stock: Male (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
11,Western Africa,2017,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2005,International migrant stock: Both sexes (number),"45,363,387",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2005,International migrant stock: Both sexes (% total population),13.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2005,International migrant stock: Male (% total Population),13.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2005,International migrant stock: Female (% total Population),13.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2010,International migrant stock: Both sexes (number),"50,970,996",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2010,International migrant stock: Both sexes (% total population),14.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2010,International migrant stock: Male (% total Population),14.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2010,International migrant stock: Female (% total Population),15,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2015,International migrant stock: Both sexes (number),"55,766,224",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2015,International migrant stock: Both sexes (% total population),15.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2015,International migrant stock: Male (% total Population),15.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2015,International migrant stock: Female (% total Population),16,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2015,Total refugees and people in refugee-like situations (number),"416,385",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
21,Northern America,2015,"Asylum seekers, including pending cases (number)","238,989",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
21,Northern America,2015,Total population of concern to UNHCR (number),"655,374",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
21,Northern America,2017,International migrant stock: Both sexes (number),"57,664,154",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2017,International migrant stock: Both sexes (% total population),16,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2017,International migrant stock: Male (% total Population),15.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2017,International migrant stock: Female (% total Population),16.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
21,Northern America,2017,Total refugees and people in refugee-like situations (number),"380,675",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
21,Northern America,2017,"Asylum seekers, including pending cases (number)","725,314",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
21,Northern America,2017,Total population of concern to UNHCR (number),"1,105,989",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (number),"7,237,476",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2005,International migrant stock: Male (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2005,International migrant stock: Female (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (number),"8,246,652",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (% total population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2010,International migrant stock: Male (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2010,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (number),"9,272,027",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (% total population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2015,International migrant stock: Male (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2015,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2015,Total refugees and people in refugee-like situations (number),"336,552",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
419,Latin America & the Caribbean,2015,"Asylum seekers, including pending cases (number)","37,378",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
419,Latin America & the Caribbean,2015,Other of concern to UNHCR (number),"6,697,290",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
419,Latin America & the Caribbean,2015,Total population of concern to UNHCR (number),"7,071,220",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
