[T25.],Index of Industrial Production,,,,,
12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2009,99.2,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2010,96.7,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2011,97.0,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2012,98.6,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2013,99.5,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2014,104.2,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2007,125.9,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2008,138.3,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2009,143.0,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2010,138.3,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2011,125.2,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2012,118.2,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2013,125.3,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Mining (Index base: 2005=100),2014,133.6,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2007,87.2,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2008,88.9,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2009,90.4,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2010,85.5,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2011,84.3,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2012,84.3,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2013,85.9,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Manufacturing (Index base: 2005=100),2014,86.4,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2007,87.1,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2008,93.0,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2009,84.4,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2010,81.7,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2011,98.7,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2012,96.8,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2013,96.0,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2014,103.0,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2007,64.0,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2008,58.7,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2009,59.4,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2010,53.6,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2011,47.6,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2012,42.7,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2013,42.8,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2014,45.6,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2007,99.2,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2008,103.8,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2009,109.1,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2010,129.2,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2011,123.7,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2012,115.7,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2013,115.3,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2014,145.9,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2007,100.3,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2008,133.9,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2009,204.3,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2010,109.4,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2011,57.1,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2012,101.4,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2013,142.5,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Basic metals (Index base: 2005=100),2014,108.8,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2007,77.9,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2008,75.8,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
