[T12.],Intentional homicides and other crimes,,,,,
28,Antigua and Barbuda,2012,"Intentional homicide rates per 100,000",10.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2005,"Assault rate per 100,000 population",363.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2005,"Theft at the national level, rate per 100,000 population",775.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2005,"Robbery at the national level, rate per 100,000 population",907.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2008,"Assault rate per 100,000 population",359.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2008,"Theft at the national level, rate per 100,000 population",703.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2008,"Robbery at the national level, rate per 100,000 population",957.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2008,"Total Sexual Violence at the national level, rate per 100,000",26.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2015,"Intentional homicide rates per 100,000",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2015,"Percentage of male and female intentional homicide victims, Male",11.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2015,"Percentage of male and female intentional homicide victims, Female",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2015,"Assault rate per 100,000 population",417.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2015,"Theft at the national level, rate per 100,000 population",626.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2015,"Robbery at the national level, rate per 100,000 population","1,020.4",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2015,"Total Sexual Violence at the national level, rate per 100,000",37.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2016,"Intentional homicide rates per 100,000",5.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2016,"Assault rate per 100,000 population",326.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2016,"Theft at the national level, rate per 100,000 population",616.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
32,Argentina,2016,"Robbery at the national level, rate per 100,000 population",988.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2005,"Intentional homicide rates per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2005,"Percentage of male and female intentional homicide victims, Male",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2005,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2005,"Assault rate per 100,000 population",6.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2005,"Kidnapping at the national level, rate per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2005,"Theft at the national level, rate per 100,000 population",82.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2005,"Robbery at the national level, rate per 100,000 population",9.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2005,"Total Sexual Violence at the national level, rate per 100,000",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2010,"Intentional homicide rates per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2010,"Percentage of male and female intentional homicide victims, Male",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2010,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2010,"Assault rate per 100,000 population",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2010,"Kidnapping at the national level, rate per 100,000",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2010,"Theft at the national level, rate per 100,000 population",127.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2010,"Robbery at the national level, rate per 100,000 population",12.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2010,"Total Sexual Violence at the national level, rate per 100,000",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2015,"Intentional homicide rates per 100,000",2.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2015,"Percentage of male and female intentional homicide victims, Male",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2015,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2015,"Assault rate per 100,000 population",5.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2015,"Kidnapping at the national level, rate per 100,000",2.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2015,"Theft at the national level, rate per 100,000 population",183.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2015,"Robbery at the national level, rate per 100,000 population",10.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2015,"Total Sexual Violence at the national level, rate per 100,000",4.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2016,"Intentional homicide rates per 100,000",3.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2016,"Percentage of male and female intentional homicide victims, Male",5.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2016,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2016,"Assault rate per 100,000 population",6.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2016,"Kidnapping at the national level, rate per 100,000",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2016,"Theft at the national level, rate per 100,000 population",194.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
51,Armenia,2016,"Robbery at the national level, rate per 100,000 population",10.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
533,Aruba,2005,"Intentional homicide rates per 100,000",6.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
533,Aruba,2005,"Percentage of male and female intentional homicide victims, Male",10.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
533,Aruba,2005,"Percentage of male and female intentional homicide victims, Female",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
533,Aruba,2010,"Intentional homicide rates per 100,000",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
533,Aruba,2010,"Percentage of male and female intentional homicide victims, Male",8.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
533,Aruba,2010,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
533,Aruba,2014,"Intentional homicide rates per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
533,Aruba,2014,"Percentage of male and female intentional homicide victims, Male",4.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
533,Aruba,2014,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2005,"Intentional homicide rates per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
