T19,Consumer Price Index,,,,,
248,Åland Islands,2010,Consumer price index: Food,100,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
248,Åland Islands,2014,Consumer price index: Food,114.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
248,Åland Islands,2015,Consumer price index: Food,114.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
248,Åland Islands,2016,Consumer price index: Food,113.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
248,Åland Islands,2017,Consumer price index: Food,113.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,1995,Consumer price index: General,40.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2005,Consumer price index: General,86.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2010,Consumer price index: General,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2014,Consumer price index: General,109.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2015,Consumer price index: General,111.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2016,Consumer price index: General,112.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2017,Consumer price index: General,115.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2005,Consumer price index: Food,82.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2010,Consumer price index: Food,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2014,Consumer price index: Food,113.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2015,Consumer price index: Food,118.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2016,Consumer price index: Food,122.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
8,Albania,2017,Consumer price index: Food,127.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,1995,Consumer price index: General,51.9,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2005,Consumer price index: General,81.8,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2010,Consumer price index: General,100,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2014,Consumer price index: General,120.9,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2015,Consumer price index: General,126.7,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2016,Consumer price index: General,134.8,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2017,Consumer price index: General,142.4,Algiers,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2010,Consumer price index: Food,100,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2014,Consumer price index: Food,125.4,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2015,Consumer price index: Food,131.3,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2016,Consumer price index: Food,135.7,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
12,Algeria,2017,Consumer price index: Food,142.5,Algiers;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2005,Consumer price index: General,89.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2010,Consumer price index: General,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2014,Consumer price index: General,104.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2015,Consumer price index: General,103.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2016,Consumer price index: General,102.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2017,Consumer price index: General,105.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2005,Consumer price index: Food,92,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2010,Consumer price index: Food,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2014,Consumer price index: Food,106.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2015,Consumer price index: Food,108.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2016,Consumer price index: Food,109.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
20,Andorra,2017,Consumer price index: Food,112.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,1995,Consumer price index: General,0,Estimate.;Break in the time series.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2005,Consumer price index: General,53.7,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2010,Consumer price index: General,100,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2014,Consumer price index: General,146,Estimate.;Break in the time series.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2015,Consumer price index: General,161.1,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2016,Consumer price index: General,213.2,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2017,Consumer price index: General,280.8,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2005,Consumer price index: Food,45.5,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2010,Consumer price index: Food,100,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2014,Consumer price index: Food,153,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2015,Consumer price index: Food,167.3,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2016,Consumer price index: Food,222.6,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
24,Angola,2017,Consumer price index: Food,286.6,Estimate.;Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,1995,Consumer price index: General,61,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,2005,Consumer price index: General,81.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,2010,Consumer price index: General,100,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,2014,Consumer price index: General,106.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,2015,Consumer price index: General,105.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,2016,Consumer price index: General,104.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,2010,Consumer price index: Food,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,2014,Consumer price index: Food,112.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,2015,Consumer price index: Food,111.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,2016,Consumer price index: Food,111,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
660,Anguilla,2017,Consumer price index: Food,112.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
28,Antigua and Barbuda,2005,Consumer price index: General,89.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
28,Antigua and Barbuda,2010,Consumer price index: General,100,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
28,Antigua and Barbuda,2014,Consumer price index: General,109.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
28,Antigua and Barbuda,2015,Consumer price index: General,110.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
28,Antigua and Barbuda,2016,Consumer price index: General,109.8,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
28,Antigua and Barbuda,2017,Consumer price index: General,112.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
32,Argentina,2017,Consumer price index: General,112.9,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
32,Argentina,2017,Consumer price index: Food,111.7,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,1995,Consumer price index: General,44.3,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2005,Consumer price index: General,76.4,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2010,Consumer price index: General,100,Estimate.;Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2014,Consumer price index: General,120.3,Estimate.;Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2015,Consumer price index: General,124.8,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2016,Consumer price index: General,123,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2017,Consumer price index: General,124.2,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2010,Consumer price index: Food,100,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2014,Consumer price index: Food,123.3,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2015,Consumer price index: Food,127.1,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2016,Consumer price index: Food,122.9,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
51,Armenia,2017,Consumer price index: Food,127.9,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,1995,Consumer price index: General,62.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2005,Consumer price index: General,84.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2010,Consumer price index: General,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2014,Consumer price index: General,102.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2015,Consumer price index: General,103.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2016,Consumer price index: General,102.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2017,Consumer price index: General,102,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2005,Consumer price index: Food,73.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2010,Consumer price index: Food,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2014,Consumer price index: Food,109.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2015,Consumer price index: Food,111.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2016,Consumer price index: Food,111.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
533,Aruba,2017,Consumer price index: Food,112.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,1995,Consumer price index: General,67.6,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2005,Consumer price index: General,86.3,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2010,Consumer price index: General,100,Break in the time series.;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2014,Consumer price index: General,110.4,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2015,Consumer price index: General,112,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2016,Consumer price index: General,113.5,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2017,Consumer price index: General,115.7,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2010,Consumer price index: Food,100,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2014,Consumer price index: Food,106.6,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2015,Consumer price index: Food,107.6,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2016,Consumer price index: Food,108.4,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
36,Australia,2017,Consumer price index: Food,109.2,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,1995,Consumer price index: General,77.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2005,Consumer price index: General,91.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2010,Consumer price index: General,100,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2014,Consumer price index: General,109.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2015,Consumer price index: General,110.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2016,Consumer price index: General,111.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2017,Consumer price index: General,114,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,1995,Consumer price index: Food,76.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2005,Consumer price index: Food,88.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2010,Consumer price index: Food,100,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2014,Consumer price index: Food,113.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2015,Consumer price index: Food,114.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2016,Consumer price index: Food,115.2,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
40,Austria,2017,Consumer price index: Food,118,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,1995,Consumer price index: General,42.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2005,Consumer price index: General,61.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2010,Consumer price index: General,100,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2014,Consumer price index: General,113.2,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2015,Consumer price index: General,117.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2016,Consumer price index: General,132.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2017,Consumer price index: General,149.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2010,Consumer price index: Food,100,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2014,Consumer price index: Food,113.7,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2015,Consumer price index: Food,119.6,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2016,Consumer price index: Food,136.2,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
31,Azerbaijan,2017,Consumer price index: Food,159.8,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
44,Bahamas,1995,Consumer price index: General,75.3,Estimate.;Break in the time series.;New Providence,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
44,Bahamas,2005,Consumer price index: General,88.2,Estimate.;New Providence,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
44,Bahamas,2010,Consumer price index: General,100,Estimate.;New Providence,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
44,Bahamas,2014,Consumer price index: General,107.6,Estimate.;New Providence,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
44,Bahamas,2015,Consumer price index: General,109.6,Estimate.;New Providence,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
44,Bahamas,2016,Consumer price index: General,109.2,Estimate.;New Providence,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
44,Bahamas,2017,Consumer price index: General,110.9,Estimate.;New Providence,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed May 2018"
